,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
177,Detective Conan: Full Score of Fear,"2,29,96,756",0,0,"2,29,96,756",100%,2008
178,Kung Fu Dunk,"2,29,45,567",0,0,"2,29,45,567",100%,2008
179,The Merry Widow,"2,28,72,698",0,0,"2,28,72,698",100%,2008
180,The Ruins,"2,28,18,256","1,74,32,844",76.40%,"53,85,412",23.60%,2008
181,U2 3D,"2,27,30,842","1,03,63,341",45.60%,"1,23,67,501",54.40%,2008
182,The Accidental Husband,"2,27,07,064",0,0,"2,27,07,064",100%,2008
183,Paco and the Magical Book,"2,26,79,633",0,0,"2,26,79,633",100%,2008
184,Doomsday,"2,24,72,631","1,10,08,770",49%,"1,14,63,861",51%,2008
185,I've Loved You So Long,"2,22,72,176","31,69,305",14.20%,"1,91,02,871",85.80%,2008
186,A.R.O.G,"2,22,12,369",0,0,"2,22,12,369",100%,2008
187,Ip Man,"2,21,08,789",0,0,"2,21,08,789",100%,2008
188,Wild Child,"2,19,72,336",0,0,"2,19,72,336",100%,2008
189,"Grande, grosso e... Verdone","2,18,60,130",0,0,"2,18,60,130",100%,2008
190,The Flight Before Christmas,"2,18,22,495",0,0,"2,18,22,495",100%,2008
191,Over Her Dead Body,"2,14,58,111","75,63,670",35.20%,"1,38,94,441",64.80%,2008
192,K020: The Fiend with Twenty Faces,"2,14,43,265",0,0,"2,14,43,265",100%,2008
193,Three Kingdoms,"2,11,59,916",0,0,"2,11,59,916",100%,2008
194,The Divine Weapon,"1,99,91,573",0,0,"1,99,91,573",100%,2008
195,Jaane Tu... Ya Jaane Na,"1,98,52,786","6,04,037",3%,"1,92,48,749",97%,2008
196,Blindness,"1,98,44,979","33,51,751",16.90%,"1,64,93,228",83.10%,2008
197,Il cosmo sul comò,"1,94,94,191",0,0,"1,94,94,191",100%,2008
198,Lyubov 2 Morkov,"1,91,71,562",0,0,"1,91,71,562",100%,2008
199,How to Lose Friends & Alienate People,"1,91,52,009","27,78,752",14.50%,"1,63,73,257",85.50%,2008
0,Avatar,"2,74,35,77,587","74,97,66,139",27.30%,"1,99,38,11,448",72.70%,2009
1,Harry Potter and the Half0Blood Prince,"93,39,59,197","30,19,59,197",32.30%,"63,20,00,000",67.70%,2009
2,Ice Age: Dawn of the Dinosaurs,"88,66,86,817","19,65,73,705",22.20%,"69,01,13,112",77.80%,2009
3,Transformers: Revenge of the Fallen,"83,63,03,693","40,21,11,870",48.10%,"43,41,91,823",51.90%,2009
4,2012,"76,96,79,473","16,61,12,167",21.60%,"60,35,67,306",78.40%,2009
5,Up,"73,50,99,082","29,30,04,164",39.90%,"44,20,94,918",60.10%,2009
6,The Twilight Saga: New Moon,"70,98,27,462","29,66,23,634",41.80%,"41,32,03,828",58.20%,2009
7,Sherlock Holmes,"52,40,28,679","20,90,28,679",39.90%,"31,50,00,000",60.10%,2009
8,Angels & Demons,"48,59,30,816","13,33,75,846",27.40%,"35,25,54,970",72.60%,2009
9,The Hangover,"46,88,12,793","27,73,22,503",59.20%,"19,14,90,290",40.80%,2009
10,Alvin and the Chipmunks: The Squeakquel,"44,31,40,005","21,96,14,612",49.60%,"22,35,25,393",50.40%,2009
11,Night at the Museum: Battle of the Smithsonian,"41,31,06,170","17,72,43,721",42.90%,"23,58,62,449",57.10%,2009
12,Star Trek,"38,56,80,446","25,77,30,019",66.80%,"12,79,50,427",33.20%,2009
13,Monsters vs. Aliens,"38,15,09,870","19,83,51,526",52%,"18,31,58,344",48%,2009
14,X0Men Origins: Wolverine,"37,30,62,864","17,98,83,157",48.20%,"19,31,79,707",51.80%,2009
15,Terminator Salvation,"37,13,53,001","12,53,22,469",33.70%,"24,60,30,532",66.30%,2009
16,Fast & Furious,"36,03,64,265","15,50,64,265",43%,"20,53,00,000",57%,2009
17,Prince of Persia: The Sands of Time,"33,63,65,676","9,07,59,676",27%,"24,56,06,000",73%,2009
18,A Christmas Carol,"32,52,86,646","13,78,55,863",42.40%,"18,74,30,783",57.60%,2009
19,Inglourious Basterds,"32,14,55,689","12,05,40,719",37.50%,"20,09,14,970",62.50%,2009
20,The Proposal,"31,73,75,031","16,39,58,031",51.70%,"15,34,17,000",48.30%,2009
21,The Blind Side,"30,92,08,309","25,59,59,475",82.80%,"5,32,48,834",17.20%,2009
22,G.I. Joe: The Rise of Cobra,"30,24,69,017","15,02,01,498",49.70%,"15,22,67,519",50.30%,2009
23,G0Force,"29,28,17,841","11,94,36,770",40.80%,"17,33,81,071",59.20%,2009
24,This Is It,"26,79,83,588","7,20,91,016",26.90%,"19,58,92,572",73.10%,2009
25,The Princess and the Frog,"26,70,45,765","10,44,00,899",39.10%,"16,26,44,866",60.90%,2009
26,Cloudy with a Chance of Meatballs,"24,30,06,126","12,48,70,275",51.40%,"11,81,35,851",48.60%,2009
27,It's Complicated,"21,91,03,655","11,27,35,375",51.50%,"10,63,68,280",48.50%,2009
28,Public Enemies,"21,41,04,620","9,71,04,620",45.40%,"11,70,00,000",54.60%,2009
29,District 9,"21,08,88,950","11,56,46,235",54.80%,"9,52,42,715",45.20%,2009
30,The Ugly Truth,"20,52,98,907","8,89,15,214",43.30%,"11,63,83,693",56.70%,2009
31,Paranormal Activity,"19,33,55,800","10,79,18,810",55.80%,"8,54,36,990",44.20%,2009
32,The Final Destination,"18,61,67,139","6,64,77,700",35.70%,"11,96,89,439",64.30%,2009
33,Watchmen,"18,53,82,813","10,75,09,799",58%,"7,78,73,014",42%,2009
34,Paul Blart: Mall Cop,"18,33,48,429","14,63,36,178",79.80%,"3,70,12,251",20.20%,2009
35,He's Just Not That Into You,"17,88,66,158","9,39,53,653",52.50%,"8,49,12,505",47.50%,2009
36,Couples Retreat,"17,18,44,840","10,92,04,945",63.50%,"6,26,39,895",36.50%,2009
37,Up in the Air,"16,68,42,739","8,38,23,381",50.20%,"8,30,19,358",49.80%,2009
38,Hannah Montana: The Movie,"15,55,45,279","7,95,76,189",51.20%,"7,59,69,090",48.80%,2009
39,The Taking of Pelham 123,"15,01,66,126","6,54,52,312",43.60%,"8,47,13,814",56.40%,2009
40,Brüno,"13,88,05,831","6,00,54,530",43.30%,"7,87,51,301",56.70%,2009
41,17 Again,"13,63,16,880","6,41,67,069",47.10%,"7,21,49,811",52.90%,2009
42,Julie & Julia,"12,95,40,522","9,41,25,426",72.70%,"3,54,15,096",27.30%,2009
43,The Fighter,"12,91,90,869","9,36,17,009",72.50%,"3,55,73,860",27.50%,2009
44,Law Abiding Citizen,"12,79,44,208","7,33,57,727",57.30%,"5,45,86,481",42.70%,2009
45,Coraline,"12,45,96,837","7,52,86,229",60.40%,"4,93,10,608",39.60%,2009
46,Surrogates,"12,24,44,772","3,85,77,772",31.50%,"8,38,67,000",68.50%,2009
47,Invictus,"12,22,33,971","3,74,91,364",30.70%,"8,47,42,607",69.30%,2009
48,Red Cliff II,"12,04,32,178",0,0,"12,04,32,178",100%,2009
49,Hotel for Dogs,"11,72,52,578","7,30,34,460",62.30%,"4,42,18,118",37.70%,2009
50,Bride Wars,"11,53,75,850","5,87,15,510",50.90%,"5,66,60,340",49.10%,2009
51,Confessions of a Shopaholic,"10,83,94,089","4,42,77,350",40.80%,"6,41,16,739",59.20%,2009
52,Race to Witch Mountain,"10,63,87,141","6,71,72,594",63.10%,"3,92,14,547",36.90%,2009
53,Planet 51,"10,56,47,102","4,21,94,060",39.90%,"6,34,53,042",60.10%,2009
54,The Girl with the Dragon Tattoo,"10,44,14,200","1,00,95,170",9.70%,"9,43,19,030",90.30%,2009
55,Zombieland,"10,23,92,080","7,55,90,286",73.80%,"2,68,01,794",26.20%,2009
56,Ghosts of Girlfriends Past,"10,23,66,815","5,52,50,026",54%,"4,71,16,789",46%,2009
57,The Time Traveler's Wife,"10,13,44,412","6,34,14,846",62.60%,"3,79,29,566",37.40%,2009
58,My Bloody Valentine,"10,07,34,718","5,15,45,952",51.20%,"4,91,88,766",48.80%,2009
59,Where the Wild Things Are,"10,01,40,096","7,72,33,467",77.10%,"2,29,06,629",22.90%,2009
60,Old Dogs,"9,67,53,696","4,94,92,060",51.20%,"4,72,61,636",48.80%,2009
61,My Sister's Keeper,"9,57,14,875","4,92,00,230",51.40%,"4,65,14,645",48.60%,2009
62,Green Zone,"9,48,82,549","3,50,53,660",36.90%,"5,98,28,889",63.10%,2009
63,The Lovely Bones,"9,36,21,340","4,41,14,232",47.10%,"4,95,07,108",52.90%,2009
64,Underworld: Rise of the Lycans,"9,21,58,961","4,58,02,315",49.70%,"4,63,56,646",50.30%,2009
65,"I Love You, Man","9,19,80,359","7,14,40,011",77.70%,"2,05,40,348",22.30%,2009
66,Friday the 13th,"9,15,09,154","6,50,02,019",71%,"2,65,07,135",29%,2009
67,Drag Me to Hell,"9,08,42,646","4,21,00,625",46.30%,"4,87,42,021",53.70%,2009
68,Madea Goes to Jail,"9,05,08,336","9,05,08,336",100%,0,0,2009
69,Rookies the Movie: Graduation,"8,80,55,243",0,0,"8,80,55,243",100%,2009
70,State of Play,"8,78,12,371","3,70,17,955",42.20%,"5,07,94,416",57.80%,2009
71,Did You Hear About the Morgans?,"8,52,80,250","2,95,80,087",34.70%,"5,57,00,163",65.30%,2009
72,Duplicity,"7,81,76,181","4,05,72,825",51.90%,"3,76,03,356",48.10%,2009
73,Orphan,"7,79,12,251","4,15,96,251",53.40%,"3,63,16,000",46.60%,2009
74,The Haunting in Connecticut,"7,75,36,359","5,53,89,516",71.40%,"2,21,46,843",28.60%,2009
75,Fame,"7,72,11,836","2,24,55,510",29.10%,"5,47,56,326",70.90%,2009
76,The Unborn,"7,65,14,050","4,26,70,410",55.80%,"3,38,43,640",44.20%,2009
77,The Pink Panther 2,"7,60,25,134","3,59,22,978",47.30%,"4,01,02,156",52.70%,2009
78,Obsessed,"7,38,30,347","6,82,61,644",92.50%,"55,68,703",7.50%,2009
79,Funny People,"7,15,85,235","5,18,55,045",72.40%,"1,97,30,190",27.60%,2009
80,Tidal Wave,"7,12,83,278",0,0,"7,12,83,278",100%,2009
81,The Men Who Stare at Goats,"6,90,95,771","3,24,28,195",46.90%,"3,66,67,576",53.10%,2009
82,Land of the Lost,"6,87,77,554","4,94,38,370",71.90%,"1,93,39,184",28.10%,2009
83,Saw VI,"6,82,34,154","2,76,93,292",40.60%,"4,05,40,862",59.40%,2009
84,The Girl Who Played with Fire,"6,71,53,225","76,38,241",11.40%,"5,95,14,984",88.60%,2009
85,Precious,"6,36,49,529","4,75,66,524",74.70%,"1,60,83,005",25.30%,2009
86,Little Nicholas,"6,27,92,067",0,0,"6,27,92,067",100%,2009
87,Year One,"6,23,57,900","4,33,37,279",69.50%,"1,90,20,621",30.50%,2009
88,The Imaginarium of Doctor Parnassus,"6,18,08,775","76,89,607",12.40%,"5,41,19,168",87.60%,2009
89,Ninja Assassin,"6,16,01,280","3,81,22,883",61.90%,"2,34,78,397",38.10%,2009
90,500 Days of Summer,"6,07,22,734","3,23,91,374",53.30%,"2,83,31,360",46.70%,2009
91,3 Idiots,"6,02,62,836","65,32,874",10.80%,"5,37,29,962",89.20%,2009
92,The International,"6,02,53,843","2,54,50,527",42.20%,"3,48,03,316",57.80%,2009
93,Aliens in the Attic,"5,78,81,056","2,52,00,412",43.50%,"3,26,80,644",56.50%,2009
94,Vicky the Viking,"5,63,90,258",0,0,"5,63,90,258",100%,2009
95,Under the Sea 3D,"5,59,02,624","3,62,62,926",64.90%,"1,96,39,698",35.10%,2009
96,Dragonball Evolution,"5,57,20,772","93,62,785",16.80%,"4,63,57,987",83.20%,2009
97,Nine,"5,40,04,950","1,96,76,965",36.40%,"3,43,27,985",63.60%,2009
98,Arthur and the Revenge of Maltazard,"5,23,77,611",0,0,"5,23,77,611",100%,2009
99,Take Off,"5,21,41,043",0,0,"5,21,41,043",100%,2009
100,Pokémon: Arceus and the Jewel of Life,"5,21,19,081",0,0,"5,21,19,081",100%,2009
101,I Can Do Bad All by Myself,"5,17,33,921","5,17,33,921",100%,0,0,2009
102,Coco Before Chanel,"5,08,12,934","61,13,834",12%,"4,46,99,100",88%,2009
103,One Piece: Strong World,"4,92,71,461",0,0,"4,92,71,461",100%,2009
104,Push,"4,88,58,618","3,18,11,527",65.10%,"1,70,47,091",34.90%,2009
105,9,"4,84,28,063","3,17,49,894",65.60%,"1,66,78,169",34.40%,2009
106,20th Century Boys 3: Redemption,"4,83,97,818",0,0,"4,83,97,818",100%,2009
107,The Fourth Kind,"4,77,09,193","2,54,86,040",53.40%,"2,22,23,153",46.60%,2009
108,Crazy Heart,"4,74,05,566","3,94,64,306",83.20%,"79,41,260",16.80%,2009
109,Hachi: A Dog's Tale,"4,67,48,131",0,0,"4,67,48,131",100%,2009
110,Fantastic Mr. Fox,"4,64,71,023","2,10,02,919",45.20%,"2,54,68,104",54.80%,2009
111,Rabbit Without Ears 2,"4,64,39,905",0,0,"4,64,39,905",100%,2009
112,The Last House on the Left,"4,52,89,053","3,27,52,215",72.30%,"1,25,36,838",27.70%,2009
113,The Spy Next Door,"4,52,36,543","2,43,07,086",53.70%,"2,09,29,457",46.30%,2009
114,Nodame Cantabile: The Movie II,"4,48,79,450",0,0,"4,48,79,450",100%,2009
115,Notorious,"4,44,20,316","3,68,43,682",82.90%,"75,76,485",17.10%,2009
116,The Girl Who Kicked the Hornet's Nest,"4,42,76,335","51,90,196",11.70%,"3,90,86,139",88.30%,2009
117,Brothers,"4,34,74,578","2,85,44,157",65.70%,"1,49,30,421",34.30%,2009
118,The Informant!,"4,17,71,168","3,33,16,821",79.80%,"84,54,347",20.20%,2009
119,The Uninvited,"4,16,33,384","2,85,96,818",68.70%,"1,30,36,566",31.30%,2009
120,Toy Story 2009 Re0release,"4,12,58,298","3,07,02,446",74.40%,"1,05,55,852",25.60%,2009
121,Evangelion: 2.0 You Can (Not) Advance,"4,11,62,041","1,33,640",0.30%,"4,10,28,401",99.70%,2009
122,The Concert,"4,11,46,351","6,57,986",1.60%,"4,04,88,365",98.40%,2009
123,Gamer,"4,08,28,540","2,05,34,907",50.30%,"2,02,93,633",49.70%,2009
124,All About Steve,"4,01,05,542","3,38,62,903",84.40%,"62,42,639",15.60%,2009
125,Astro Boy,"3,98,86,986","1,95,51,067",49%,"2,03,35,919",51%,2009
126,Detective Conan: The Raven Chaser,"3,96,64,359",0,0,"3,96,64,359",100%,2009
127,Agora,"3,94,57,342","6,19,423",1.60%,"3,88,37,919",98.40%,2009
128,Halloween II,"3,94,21,467","3,33,92,973",84.70%,"60,28,494",15.30%,2009
129,Cirque du Freak: The Vampire's Assistant,"3,92,91,383","1,38,69,515",35.30%,"2,54,21,868",64.70%,2009
130,Jeon Woochi,"3,86,81,926",0,0,"3,86,81,926",100%,2009
131,The Soloist,"3,83,32,994","3,17,20,158",82.70%,"66,12,836",17.30%,2009
132,Amalfi: Rewards of the Goddess,"3,78,40,539",0,0,"3,78,40,539",100%,2009
133,Broken Embraces,"3,74,72,507","50,14,305",13.40%,"3,24,58,202",86.60%,2009
134,Brooklyn's Finest,"3,64,40,201","2,71,63,593",74.50%,"92,76,608",25.50%,2009
135,The Boat That Rocked,"3,63,48,784","80,17,917",22.10%,"2,83,30,867",77.90%,2009
136,Love Happens,"3,60,88,028","2,29,65,110",63.60%,"1,31,22,918",36.40%,2009
137,Whatever Works,"3,60,20,534","53,06,706",14.70%,"3,07,13,828",85.30%,2009
138,The Secret in Their Eyes,"3,50,79,650","63,91,436",18.20%,"2,86,88,214",81.80%,2009
139,Crank: High Voltage,"3,45,72,541","1,36,84,249",39.60%,"2,08,88,292",60.40%,2009
140,Gokusen: The Movie,"3,41,17,482",0,0,"3,41,17,482",100%,2009
141,The Box,"3,33,33,531","1,50,51,977",45.20%,"1,82,81,554",54.80%,2009
142,LOL (Laughing Out Loud),"3,27,64,784",0,0,"3,27,64,784",100%,2009
143,Fighting,"3,24,82,728","2,30,91,010",71.10%,"93,91,718",28.90%,2009
144,The Invention of Lying,"3,24,06,507","1,84,51,251",56.90%,"1,39,55,256",43.10%,2009
145,April Bride,"3,21,12,343",0,0,"3,21,12,343",100%,2009
146,Jennifer's Body,"3,15,56,061","1,62,04,793",51.40%,"1,53,51,268",48.60%,2009
147,Dance Flick,"3,14,39,140","2,56,62,155",81.60%,"57,76,985",18.40%,2009
148,A Serious Man,"3,14,30,334","92,28,768",29.40%,"2,22,01,566",70.60%,2009
149,The Stepfather,"3,11,98,531","2,90,62,561",93.20%,"21,35,970",6.80%,2009
150,Yatterman,"3,03,65,792",0,0,"3,03,65,792",100%,2009
151,Natale a Beverly Hills,"2,99,76,481",0,0,"2,99,76,481",100%,2009
152,Crows Zero II,"2,98,93,636",0,0,"2,98,93,636",100%,2009
153,20th Century Boys 2: The Last Hope,"2,95,02,213",0,0,"2,95,02,213",100%,2009
154,The Young Victoria,"2,91,81,829","1,10,01,272",37.70%,"1,81,80,557",62.30%,2009
155,New in Town,"2,90,10,817","1,67,34,283",57.70%,"1,22,76,534",42.30%,2009
156,The Unbroken,"2,90,00,322",0,0,"2,90,00,322",100%,2009
157,Shorts,"2,89,72,508","2,09,19,166",72.20%,"80,53,342",27.80%,2009
158,Pope Joan,"2,87,48,076",0,0,"2,87,48,076",100%,2009
159,Case 39,"2,81,90,603","1,32,61,851",47%,"1,49,28,752",53%,2009
160,Recep Ivedik 2,"2,76,99,692",0,0,"2,76,99,692",100%,2009
161,The Road,"2,76,39,579","81,17,000",29.40%,"1,95,22,579",70.60%,2009
162,Sorority Row,"2,72,06,120","1,19,65,282",44%,"1,52,40,838",56%,2009
163,Observe and Report,"2,69,73,554","2,40,07,324",89%,"29,66,230",11%,2009
164,An Education,"2,60,96,852","1,25,74,914",48.20%,"1,35,21,938",51.80%,2009
165,Coco,"2,55,93,707",0,0,"2,55,93,707",100%,2009
166,Doraemon the Movie: The New Records of Nobita's Spaceblazer,"2,54,22,212",0,0,"2,54,22,212",100%,2009
167,Mt. Tsurugidake,"2,51,34,437",0,0,"2,51,34,437",100%,2009
168,A Single Man,"2,49,64,890","91,76,000",36.80%,"1,57,88,890",63.20%,2009
169,Kaiji: The Ultimate Gambler,"2,47,09,016",0,0,"2,47,09,016",100%,2009
170,If I Were You 2,"2,44,15,116",0,0,"2,44,15,116",100%,2009
171,I Give My First Love to You,"2,40,51,386",0,0,"2,40,51,386",100%,2009
172,Mao's Last Dancer,"2,39,14,731","48,17,770",20.10%,"1,90,96,961",79.90%,2009
173,Dark Planet,"2,37,72,559",0,0,"2,37,72,559",100%,2009
174,Jonas Brothers: The 3D Concert Experience,"2,31,86,960","1,91,62,740",82.60%,"40,24,220",17.40%,2009
175,Imagine That,"2,29,85,194","1,61,23,323",70.10%,"68,61,871",29.90%,2009
176,Armored,"2,29,42,221","1,59,88,876",69.70%,"69,53,345",30.30%,2009
177,A Perfect Getaway,"2,29,38,329","1,55,15,460",67.60%,"74,22,869",32.40%,2009
178,Dorian Gray,"2,28,73,653",0,0,"2,28,73,653",100%,2009
179,Men in the City,"2,24,20,615",0,0,"2,24,20,615",100%,2009
180,Neuilly Yo Mama!,"2,22,43,482",0,0,"2,22,43,482",100%,2009
181,OSS 117: Lost in Rio,"2,19,24,245","89,375",0.40%,"2,18,34,870",99.60%,2009
182,The Rebound,"2,17,91,288",0,0,"2,17,91,288",100%,2009
183,My Girlfriend Is an Agent,"2,10,56,256",0,0,"2,10,56,256",100%,2009
184,Black Lightning,"2,09,84,902",0,0,"2,09,84,902",100%,2009
185,Love Aaj Kal,"2,07,94,985","24,30,083",11.70%,"1,83,64,902",88.30%,2009
186,I Love You Phillip Morris,"2,07,68,906","20,37,459",9.80%,"1,87,31,447",90.20%,2009
187,Pandemic,"2,07,12,567",0,0,"2,07,12,567",100%,2009
188,Pandorum,"2,06,48,328","1,03,30,853",50%,"1,03,17,475",50%,2009
189,My Life in Ruins,"2,04,55,482","86,65,206",42.40%,"1,17,90,276",57.60%,2009
190,Cado dalle nubi,"2,01,23,466",0,0,"2,01,23,466",100%,2009
191,Solomon Kane,"1,96,52,185",0,0,"1,96,52,185",100%,2009
192,Amelia,"1,96,43,086","1,42,46,488",72.50%,"53,96,598",27.50%,2009
193,Drop,"1,96,11,028",0,0,"1,96,11,028",100%,2009
194,High Security Vacation,"1,94,87,557",0,0,"1,94,87,557",100%,2009
195,Kamen Rider Decade: All Riders vs. Dai0Shocker,"1,94,18,091",0,0,"1,94,18,091",100%,2009
196,Ballad,"1,93,28,678",0,0,"1,93,28,678",100%,2009
197,The White Ribbon,"1,93,19,671","22,22,862",11.50%,"1,70,96,809",88.50%,2009
198,Cell 211,"1,93,00,483",0,0,"1,93,00,483",100%,2009
199,Taras Bulba,"1,88,74,808",0,0,"1,88,74,808",100%,2009
